ts,name,cpu,mem
14:31:29,lucky-star-redis,26.51%,13.5MiB / 15.47GiB
14:31:29,lucky-star-kafka,80.42%,1.246GiB / 15.47GiB
14:31:29,lucky-star-mysql,24.05%,599.8MiB / 15.47GiB
14:31:29,lucky-star-grafana,0.07%,57.82MiB / 15.47GiB
14:31:29,lucky-star-prometheus,1.96%,74.93MiB / 15.47GiB
14:31:29,lucky-star-zookeeper,0.12%,134.7MiB / 15.47GiB
14:31:32,lucky-star-wallet-service,177.35%,729.5MiB / 15.47GiB
14:31:32,lucky-star-gateway-service,95.41%,522.4MiB / 15.47GiB
14:31:32,lucky-star-game-service,225.60%,999MiB / 15.47GiB
14:31:32,lucky-star-member-service,0.55%,701MiB / 15.47GiB
14:31:32,lucky-star-admin-service,39.96%,663.4MiB / 15.47GiB
14:31:32,lucky-star-rank-service,23.69%,632MiB / 15.47GiB
14:31:32,lucky-star-notification-service,20.10%,344MiB / 15.47GiB
14:31:32,lucky-star-kafka-ui,0.11%,290.9MiB / 15.47GiB
14:31:32,lucky-star-postgres,115.96%,791MiB / 15.47GiB
14:31:32,lucky-star-redis,21.87%,13.95MiB / 15.47GiB
14:31:32,lucky-star-kafka,76.68%,1.246GiB / 15.47GiB
14:31:32,lucky-star-mysql,27.26%,599.6MiB / 15.47GiB
14:31:32,lucky-star-grafana,0.07%,57.82MiB / 15.47GiB
14:31:32,lucky-star-prometheus,0.60%,74.91MiB / 15.47GiB
14:31:32,lucky-star-zookeeper,5.99%,134.7MiB / 15.47GiB
14:31:34,lucky-star-wallet-service,205.87%,730.4MiB / 15.47GiB
14:31:34,lucky-star-gateway-service,100.17%,522.1MiB / 15.47GiB
14:31:34,lucky-star-game-service,240.98%,998.3MiB / 15.47GiB
14:31:34,lucky-star-member-service,1.58%,701.2MiB / 15.47GiB
14:31:34,lucky-star-admin-service,31.38%,662.4MiB / 15.47GiB
14:31:34,lucky-star-rank-service,22.05%,631.5MiB / 15.47GiB
14:31:34,lucky-star-notification-service,19.44%,343.8MiB / 15.47GiB
14:31:34,lucky-star-kafka-ui,0.15%,290.9MiB / 15.47GiB
14:31:34,lucky-star-postgres,119.52%,790.3MiB / 15.47GiB
14:31:34,lucky-star-redis,35.16%,16.37MiB / 15.47GiB
14:31:34,lucky-star-kafka,76.77%,1.246GiB / 15.47GiB
14:31:34,lucky-star-mysql,26.76%,600.1MiB / 15.47GiB
14:31:34,lucky-star-grafana,0.06%,57.82MiB / 15.47GiB
14:31:34,lucky-star-prometheus,0.47%,75.64MiB / 15.47GiB
14:31:34,lucky-star-zookeeper,0.09%,134.7MiB / 15.47GiB
14:31:36,lucky-star-wallet-service,185.95%,729.8MiB / 15.47GiB
14:31:36,lucky-star-gateway-service,99.84%,522.3MiB / 15.47GiB
14:31:36,lucky-star-game-service,234.90%,999MiB / 15.47GiB
14:31:36,lucky-star-member-service,0.36%,701MiB / 15.47GiB
