ts,name,cpuPct,mem
2026-07-23T12:06:22,lucky-star-mysql,0.63%,507.9MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-grafana,0.10%,52.21MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-prometheus,0.82%,65.88MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-zookeeper,0.11%,133.4MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-gateway-service,2.56%,464.2MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-game-service,6.02%,676.2MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-member-service,0.29%,586.4MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-wallet-service,1.14%,749.4MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-admin-service,0.41%,603.8MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-rank-service,0.50%,509.2MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-notification-service,1.43%,329.5MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-kafka-ui,0.08%,265.5MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-postgres,0.21%,382.9MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-redis,0.35%,8.168MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-kafka,4.67%,953.9MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-mysql,0.51%,508.4MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-grafana,0.14%,52.21MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-prometheus,0.91%,66.23MiB / 15.47GiB
2026-07-23T12:06:28,lucky-star-zookeeper,0.13%,133.4MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-gateway-service,0.65%,463.2MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-game-service,0.53%,675.2MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-member-service,0.48%,586.6MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-wallet-service,1.21%,750.2MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-admin-service,4.00%,603.5MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-rank-service,0.82%,509.7MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-notification-service,0.69%,329.4MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-kafka-ui,0.08%,265.7MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-postgres,0.09%,383.2MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-redis,0.57%,8.715MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-kafka,2.98%,954.4MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-mysql,0.51%,508.1MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-grafana,0.06%,52.21MiB / 15.47GiB
